,cumulative_confirmed,daily_new,t_day
2020-01-22,444,444.0,0
2020-01-23,444,0.0,1
2020-01-24,549,105.0,2
2020-01-25,761,212.0,3
2020-01-26,1058,297.0,4
2020-01-27,1423,365.0,5
2020-01-28,3554,2131.0,6
2020-01-29,3554,0.0,7
2020-01-30,4903,1349.0,8
2020-01-31,5806,903.0,9
2020-02-01,7153,1347.0,10
2020-02-02,11177,4024.0,11
2020-02-03,13522,2345.0,12
2020-02-04,16678,3156.0,13
2020-02-05,19665,2987.0,14
2020-02-06,22112,2447.0,15
2020-02-07,24953,2841.0,16
2020-02-08,27100,2147.0,17
2020-02-09,29631,2531.0,18
2020-02-10,31728,2097.0,19
2020-02-11,33366,1638.0,20
2020-02-12,33366,0.0,21
2020-02-13,48206,14840.0,22
2020-02-14,54406,6200.0,23
2020-02-15,56249,1843.0,24
2020-02-16,58182,1933.0,25
2020-02-17,59989,1807.0,26
2020-02-18,61682,1693.0,27
2020-02-19,62031,349.0,28
2020-02-20,62442,411.0,29
2020-02-21,62662,220.0,30
2020-02-22,64084,1422.0,31
2020-02-23,64084,0.0,32
2020-02-24,64287,203.0,33
2020-02-25,64786,499.0,34
2020-02-26,65187,401.0,35
2020-02-27,65596,409.0,36
2020-02-28,65914,318.0,37
2020-02-29,66337,423.0,38
2020-03-01,66907,570.0,39
2020-03-02,67103,196.0,40
2020-03-03,67217,114.0,41
2020-03-04,67332,115.0,42
2020-03-05,67466,134.0,43
2020-03-06,67592,126.0,44
2020-03-07,67666,74.0,45
2020-03-08,67707,41.0,46
2020-03-09,67743,36.0,47
2020-03-10,67760,17.0,48
2020-03-11,67773,13.0,49
2020-03-12,67781,8.0,50
2020-03-13,67786,5.0,51
2020-03-14,67790,4.0,52
2020-03-15,67794,4.0,53
2020-03-16,67798,4.0,54
2020-03-17,67799,1.0,55
2020-03-18,67800,1.0,56
2020-03-19,67800,0.0,57
2020-03-20,67800,0.0,58
2020-03-21,67800,0.0,59
2020-03-22,67800,0.0,60
2020-03-23,67800,0.0,61
2020-03-24,67801,1.0,62
2020-03-25,67801,0.0,63
2020-03-26,67801,0.0,64
2020-03-27,67801,0.0,65
2020-03-28,67801,0.0,66
2020-03-29,67801,0.0,67
2020-03-30,67801,0.0,68
2020-03-31,67801,0.0,69
